CRD | Intérêt | Échéance
22000 | 91.67 | 567.33
21432.67 | 89.3 | 569.7
20862.97 | 86.93 | 572.07
20290.9 | 84.55 | 574.45
19716.44 | 82.15 | 576.85
19139.6 | 79.75 | 579.25
18560.34 | 77.33 | 581.67
17978.68 | 74.91 | 584.09
17394.59 | 72.48 | 586.52
16808.07 | 70.03 | 588.97
16219.1 | 67.58 | 591.42
15627.68 | 65.12 | 593.88
15033.8 | 62.64 | 596.36
14437.44 | 60.16 | 598.84
13838.59 | 57.66 | 601.34
13237.25 | 55.16 | 603.84
12633.41 | 52.64 | 606.36
12027.05 | 50.11 | 608.89
11418.16 | 47.58 | 611.42
10806.74 | 45.03 | 613.97
10192.76 | 42.47 | 616.53
9576.23 | 39.9 | 619.1
8957.14 | 37.32 | 621.68
8335.46 | 34.73 | 624.27
7711.19 | 32.13 | 626.87
7084.32 | 29.52 | 629.48
6454.84 | 26.9 | 632.1
5822.73 | 24.26 | 634.74
5187.99 | 21.62 | 637.38
4550.61 | 18.96 | 640.04
3910.57 | 16.29 | 642.71
3267.86 | 13.62 | 645.38
2622.48 | 10.93 | 648.07
1974.41 | 8.23 | 650.77
1323.63 | 5.52 | 653.48
670.15 | 2.79 | 670.15
